Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,695.7099999999999,8348.52,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,Asia Pacific (Sydney),,Amazon EC2 ,0,38.544,462.53,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 1), Advance EC2 instance (t3.medium), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,Asia Pacific (Sydney),,S3 Standard,0,12.5,150.00,USD,,S3 Standard storage (500 GB per month)
My Estimate,Asia Pacific (Sydney),,Data Transfer,0,0,0.00,USD,,
My Estimate,Asia Pacific (Sydney),,Amazon RDS for MySQL,0,223.97,2687.64,USD,,"Storage amount (100 GB), Storage for each RDS instance (General Purpose SSD (gp2)), Nodes (1), Instance type (db.t3.medium), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,Asia Pacific (Sydney),,VPN Connection,0,256,3072.00,USD,,"Working days per month (22), Number of Site-to-Site VPN Connections (1), Number of subnet associations (1)"
My Estimate,Asia Pacific (Sydney),,Application Load Balancer,0,164.4,1972.80,USD,,Number of Application Load Balancers (1)
My Estimate,Asia Pacific (Sydney),,Amazon CloudWatch,0,0.3,3.60,USD,,Number of Metrics (includes detailed and custom metrics) (1)



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
